result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","8",""
"INFO PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Alias stress 48k to 16k mono","AliasStress","OneWayReference","no","48000","16000","1","48000","16000","16000","48000","4.327881154942948E-06","41.508307686985226","44.51860747517343","7",""
"INFO","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03760019390243167","2.5567581029866644","7.312269815711776","31","MSE 0.0376; SNR 2.56 dB; PSNR 7.31 dB"
"INFO","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03760019390243167","2.5567581029866644","7.312269815711776","33","MSE 0.0376; SNR 2.56 dB; PSNR 7.31 dB"
"PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.2253229763764293E-09","73.05371793125721","85.97538668492183","22",""
"PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.2253229763764293E-09","73.05371793125721","85.97538668492183","19",""
"PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","3.3394474549606817E-07","48.699005883253285","61.59184569111105","30",""
"PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Speech 48k to 16k mono","HarmonicBlend","RoundTrip","yes","48000","16000","1","48000","16000","16000","48000","3.3394474549606817E-07","48.699005883253285","61.59184569111105","8",""
"INFO","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.10887190755303654","3.5358943994910113","6.532802329427472","9","MSE 0.1089; SNR 3.54 dB; PSNR 6.53 dB"
"INFO","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Sweep 48k to 32k mono","FrequencySweep","RoundTrip","no","48000","32000","1","48000","32000","32000","48000","0.10887190755303654","3.5358943994910113","6.532802329427472","8","MSE 0.1089; SNR 3.54 dB; PSNR 6.53 dB"
"PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","2.2843780983715663E-10","72.27459759207883","95.49717008183718","21",""
"PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Transient 44.1k to 48k stereo","TransientPulse","RoundTrip","yes","44100","48000","2","44100","48000","48000","44100","2.2843780983715663E-10","72.27459759207883","95.49717008183718","19",""
"PASS","ratio_aware_lagrange_hybrid","v1","Experimental RatioAwareLagrangeHybrid","yes","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","3.0935407718328137E-08","59.03119359658362","71.92403339243862","8",""
"PASS","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Upsample 16k to 48k mono","HarmonicBlend","RoundTrip","yes","16000","48000","1","16000","48000","48000","16000","3.0935407718328137E-08","59.03119359658362","71.92403339243862","8",""
